,INQ_YMD,YEAR,MONTH,DAY,PDLT_NM,NMYR_RATE,WHSL_DAIL_PRCE,WHSL_BFRT_PRCE,RTSL_BFRT_PRCE,RTSL_DAIL_PRCE
51804,20161026,2016,10,26,¸¶´Ã,26.263,7000.0,7000.0,10199.0,10199.0
51813,20161224,2016,12,24,¸¶´Ã,33.479,7340.0,7340.0,10454.0,10454.0
51820,20161225,2016,12,25,¸¶´Ã,33.479,7340.0,7340.0,10454.0,10454.0
51827,20161226,2016,12,26,¸¶´Ã,33.479,7340.0,7340.0,10454.0,10454.0
51834,20161227,2016,12,27,¸¶´Ã,33.479,7340.0,7340.0,10454.0,10536.0
51842,20170220,2017,2,20,¸¶´Ã,31.65,7350.0,7350.0,10585.0,10585.0
51849,20170221,2017,2,21,¸¶´Ã,31.016,7350.0,7350.0,10585.0,10636.0
51856,20170222,2017,2,22,¸¶´Ã,31.016,7350.0,7350.0,10636.0,10636.0
51863,20170223,2017,2,23,¸¶´Ã,31.016,7350.0,7350.0,10636.0,10656.0
51868,20160827,2016,8,27,¸¶´Ã,25.285,6600.0,6600.0,10190.0,10180.0
51875,20160828,2016,8,28,¸¶´Ã,25.285,6600.0,6600.0,10190.0,10180.0
51882,20160829,2016,8,29,¸¶´Ã,25.285,6600.0,6600.0,10190.0,10180.0
51889,20160830,2016,8,30,¸¶´Ã,25.285,6600.0,6600.0,10180.0,10213.0
51892,20161027,2016,10,27,¸¶´Ã,26.263,7000.0,7000.0,10199.0,10301.0
51899,20161028,2016,10,28,¸¶´Ã,26.263,7000.0,7000.0,10301.0,10443.0
51906,20161029,2016,10,29,¸¶´Ã,26.263,7000.0,7000.0,10443.0,10458.0
51913,20161030,2016,10,30,¸¶´Ã,26.263,7000.0,7000.0,10443.0,10458.0
51922,20161228,2016,12,28,¸¶´Ã,33.479,7340.0,7340.0,10536.0,10612.0
51929,20161229,2016,12,29,¸¶´Ã,33.297,7330.0,7340.0,10612.0,10634.0
51936,20161230,2016,12,30,¸¶´Ã,33.297,7330.0,7330.0,10634.0,10514.0
51943,20161231,2016,12,31,¸¶´Ã,33.297,7330.0,7330.0,10514.0,10514.0
51951,20170224,2017,2,24,¸¶´Ã,31.016,7350.0,7350.0,10656.0,10341.0
51958,20170225,2017,2,25,¸¶´Ã,31.016,7350.0,7350.0,10341.0,10271.0
51965,20170226,2017,2,26,¸¶´Ã,31.016,7350.0,7350.0,10341.0,10271.0
51976,20160831,2016,8,31,¸¶´Ã,25.285,6600.0,6600.0,10213.0,10246.0
51983,20160901,2016,9,1,¸¶´Ã,25.401,6650.0,6600.0,10246.0,10249.0
51990,20160902,2016,9,2,¸¶´Ã,25.401,6650.0,6650.0,10249.0,10216.0
51997,20160903,2016,9,3,¸¶´Ã,25.401,6650.0,6650.0,10216.0,10194.0
